343,"A","AUTOVEICOLO PER USO SPECIALE","PROPRIO","BERGAMO",,2175.00,"GASOL",46,"01/01/1978","0",,3270
344,"A","AUTOVETTURA PER TRASPORTO DI PERSONE","PROPRIO","BERGAMO",,1049.00,"BENZ",37,"10/11/1978","0",,1130
345,"A","AUTOVETTURA PER TRASPORTO DI PERSONE","PROPRIO","BERGAMO",,652.00,"BENZ",18,"27/06/1978","0",,920
346,"A","AUTOVETTURA PER TRASPORTO DI PERSONE","PROPRIO","BERGAMO",,652.00,"BENZ",18,"31/10/1978","0",,920
348,"A","AUTOVETTURA PER TRASPORTO DI PERSONE","PROPRIO","BERGAMO","ALFA ROMEO",1779.00,"BENZ",90,"01/01/1972","0",,1460
349,"A","AUTOVETTURA PER TRASPORTO DI PERSONE","PROPRIO","BERGAMO",,1192.00,"BENZ",27,"06/03/1979","0",,1180
350,"A","AUTOVETTURA PER TRASPORTO DI PERSONE","PROPRIO","BERGAMO",,903.00,"BENZ",33,"24/11/1978","0",,1110
352,"A","AUTOVETTURA PER TRASPORTO DI PERSONE","PROPRIO","LECCO",,652.00,"BENZ",18,"01/02/1979","0",,920
353,"A","AUTOVETTURA PER TRASPORTO DI PERSONE","PROPRIO","BERGAMO",,1222.00,"BENZ",46,"31/01/1979","0",,1345
355,"A","AUTOVETTURA PER TRASPORTO DI PERSONE","PROPRIO","BRESCIA",,957.00,"BENZ",33,"31/08/1978","0",,1120
363,"A","AUTOVETTURA PER TRASPORTO DI PERSONE","PROPRIO","BERGAMO",,652.00,"BENZ",18,"02/06/1978","0",,920
372,"A","AUTOVETTURA PER TRASPORTO DI PERSONE","PROPRIO","MONZA E DELLA BRIANZA","RENAULT",1149.00,"BENZ",55,"23/10/2008","4",139,1580
374,"M","MOTOCICLO PER TRASPORTO PERSONE","PROPRIO","MILANO","HM MOTO",449.00,"BENZ",18,"23/10/2008","3",,270
375,"A","AUTOVETTURA PER TRASPORTO DI PERSONE","PROPRIO","VARESE","RENAULT",1461.00,"GASOL",78,"14/07/2006","4",124,1795
376,"A","AUTOVETTURA PER TRASPORTO DI PERSONE","PROPRIO","PAVIA","MERCEDES",1498.00,"BENZ",70,"23/02/2005","4",157,1690
378,"A","AUTOVETTURA PER TRASPORTO DI PERSONE","DI TERZI DA LOCARE SENZA CONDUC.","MILANO","SAAB",1910.00,"GASOL",110,"29/12/2004","4",159,2030
387,"A","AUTOVETTURA PER TRASPORTO DI PERSONE","PROPRIO","CREMONA","FIAT - INNOCENTI",1368.00,"BENZ",57,"29/07/2008","4",178,1850
388,"A","AUTOCARRO PER TRASPORTO DI COSE","PROPRIO","BERGAMO","VOLKSWAGEN",2461.00,"GASOL",100,"04/09/2008","4",,3500
